epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,127.625,1.24469,2.94435,2.56624,1.36081,0,0.35173,0.39169,0.32492,0.19947,0.38737,0.35192,0.32109,0.20878,1.7902,3.02149,2.84731,2.01379,0,0.00041524,0.00041524,0.00041524
2,247.798,1.28444,2.65087,2.07586,1.38757,0,0.42291,0.44466,0.38293,0.23965,0.44409,0.39587,0.36973,0.23677,1.76277,3.10688,2.53696,1.8936,0,0.000825318,0.000825318,0.000825318
3,369.277,1.33197,2.67706,1.98497,1.41288,0,0.44233,0.46387,0.4063,0.24875,0.43598,0.43553,0.39228,0.2506,1.81971,2.91772,2.69101,1.90693,0,0.0012288,0.0012288,0.0012288
4,490.126,1.28988,2.6402,1.87889,1.388,0,0.45727,0.51348,0.44351,0.28727,0.50556,0.45931,0.431,0.29183,1.69581,3.00689,2.25751,1.78908,0,0.0012203,0.0012203,0.0012203
5,609.111,1.25381,2.56808,1.78337,1.36754,0,0.40854,0.54041,0.45793,0.29093,0.54554,0.41327,0.42959,0.28433,1.6737,2.74689,2.24692,1.79018,0,0.0012104,0.0012104,0.0012104
6,727.776,1.21453,2.49285,1.6907,1.35194,0,0.56308,0.50214,0.51043,0.32724,0.57278,0.47084,0.49021,0.32255,1.59565,2.70129,2.10446,1.71011,0,0.0012005,0.0012005,0.0012005
7,846.314,1.18664,2.43185,1.65811,1.3308,0,0.52547,0.5527,0.50785,0.33251,0.52717,0.54137,0.48421,0.32217,1.66203,2.70779,2.05929,1.76261,0,0.0011906,0.0011906,0.0011906
8,965.535,1.17183,2.39753,1.60737,1.32713,0,0.6065,0.56624,0.56208,0.37653,0.57613,0.5413,0.53565,0.36591,1.48119,2.4955,1.90136,1.62081,0,0.0011807,0.0011807,0.0011807
9,1084.19,1.13527,2.34635,1.5466,1.30521,0,0.63057,0.58685,0.61217,0.41437,0.58932,0.55605,0.56875,0.3792,1.46764,2.52008,1.81606,1.60465,0,0.0011708,0.0011708,0.0011708
10,1203.55,1.12045,2.32424,1.51633,1.29197,0,0.57396,0.5762,0.57619,0.38868,0.59959,0.54286,0.55304,0.36608,1.48992,2.49586,1.83855,1.62688,0,0.0011609,0.0011609,0.0011609
11,1323.54,1.09638,2.26606,1.46124,1.2768,0,0.69102,0.55252,0.60755,0.41664,0.67465,0.5329,0.57575,0.39122,1.52064,2.46242,1.81131,1.65525,0,0.001151,0.001151,0.001151
12,1444.87,1.09734,2.25313,1.47415,1.27821,0,0.59873,0.60387,0.60503,0.41788,0.60983,0.57821,0.57499,0.3913,1.49326,2.45859,1.81583,1.61198,0,0.0011411,0.0011411,0.0011411
13,1565.39,1.08091,2.20122,1.41399,1.2595,0,0.59338,0.61819,0.6109,0.4329,0.57844,0.59907,0.58419,0.40036,1.42096,2.43819,1.80113,1.53424,0,0.0011312,0.0011312,0.0011312
14,1686.27,1.08081,2.18642,1.39983,1.26253,0,0.66355,0.6006,0.63925,0.43841,0.6851,0.57532,0.61699,0.42154,1.40584,2.39229,1.65696,1.53779,0,0.0011213,0.0011213,0.0011213
15,1809.22,1.07941,2.19871,1.39658,1.2684,0,0.67916,0.6532,0.65575,0.45545,0.66251,0.63741,0.62336,0.42618,1.41245,2.34561,1.67019,1.53545,0,0.0011114,0.0011114,0.0011114
16,1931.16,1.05539,2.17344,1.35718,1.25607,0,0.64554,0.60348,0.62308,0.44739,0.63673,0.59133,0.60123,0.41919,1.42049,2.39116,1.7059,1.57446,0,0.0011015,0.0011015,0.0011015
17,2052.29,1.03275,2.10715,1.30857,1.23326,0,0.67798,0.65928,0.66996,0.47061,0.67336,0.63246,0.6442,0.44767,1.40323,2.30485,1.60337,1.52858,0,0.0010916,0.0010916,0.0010916
18,2172.95,1.03032,2.12068,1.29651,1.22952,0,0.66552,0.65121,0.67561,0.47996,0.67503,0.62157,0.6344,0.43968,1.37524,2.34332,1.59626,1.5398,0,0.0010817,0.0010817,0.0010817
19,2293.56,1.03392,2.08436,1.31326,1.23025,0,0.63567,0.66188,0.65144,0.46715,0.64619,0.62795,0.62855,0.43602,1.35996,2.38987,1.59737,1.48801,0,0.0010718,0.0010718,0.0010718
20,2415.2,1.03685,2.1123,1.30001,1.22976,0,0.68811,0.66725,0.69709,0.4982,0.69149,0.64148,0.66246,0.46628,1.32062,2.35708,1.51785,1.45878,0,0.0010619,0.0010619,0.0010619
21,2536,1.007,2.07248,1.26994,1.21786,0,0.68556,0.64484,0.6632,0.47387,0.6867,0.62726,0.63038,0.42921,1.35653,2.37099,1.58848,1.50244,0,0.001052,0.001052,0.001052
22,2655.84,0.99268,2.05958,1.2377,1.20949,0,0.71272,0.6678,0.6938,0.49779,0.69226,0.6408,0.6508,0.45415,1.35739,2.37589,1.50156,1.49431,0,0.0010421,0.0010421,0.0010421
23,2773.73,1.00675,2.04333,1.23376,1.21242,0,0.71481,0.66229,0.71065,0.51791,0.71136,0.64668,0.67682,0.48781,1.36968,2.24169,1.46145,1.51408,0,0.0010322,0.0010322,0.0010322
24,2892.32,0.98865,2.00697,1.20745,1.1993,0,0.67269,0.69414,0.68702,0.49988,0.65997,0.68487,0.65525,0.45779,1.2945,2.22687,1.47922,1.44165,0,0.0010223,0.0010223,0.0010223
25,3010.85,0.97418,1.99444,1.20317,1.2008,0,0.65999,0.68449,0.69498,0.51458,0.67672,0.67473,0.67169,0.47791,1.29274,2.28089,1.49655,1.43872,0,0.0010124,0.0010124,0.0010124
26,3132.19,0.97451,1.9694,1.18958,1.19217,0,0.69978,0.6549,0.69405,0.51655,0.69233,0.641,0.66698,0.4752,1.30738,2.2018,1.47203,1.49503,0,0.0010025,0.0010025,0.0010025
27,3250.47,0.97287,1.99965,1.18732,1.19958,0,0.73948,0.67957,0.71423,0.52879,0.73435,0.65944,0.67837,0.48286,1.29439,2.22195,1.42916,1.43586,0,0.0009926,0.0009926,0.0009926
28,3369.2,0.95914,1.95677,1.15643,1.18462,0,0.70941,0.67965,0.70723,0.52554,0.69745,0.66747,0.67503,0.48407,1.28336,2.16877,1.41536,1.43008,0,0.0009827,0.0009827,0.0009827
29,3486.82,0.96001,1.93784,1.15967,1.19039,0,0.71611,0.66742,0.706,0.52908,0.70555,0.66044,0.67008,0.478,1.29808,2.10853,1.3907,1.42802,0,0.0009728,0.0009728,0.0009728
30,3604.7,0.94243,1.92395,1.13426,1.17646,0,0.72177,0.67791,0.71058,0.53277,0.71957,0.65991,0.6808,0.48858,1.29289,2.15083,1.38066,1.45003,0,0.0009629,0.0009629,0.0009629
