epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,119.171,1.23256,2.96705,2.53752,1.36021,0,0.32534,0.3557,0.28145,0.16695,0.30894,0.32104,0.23719,0.13361,1.76726,3.10865,2.81815,1.84341,0,0.000415189,0.000415189,0.000415189
2,230.808,1.29837,2.68259,2.08182,1.39664,0,0.35463,0.4183,0.31889,0.19939,0.35808,0.38644,0.33288,0.21077,1.89648,3.09849,2.59065,1.99008,0,0.00082362,0.00082362,0.00082362
3,339.716,1.32103,2.70479,1.98262,1.41373,0,0.37022,0.42925,0.33661,0.21262,0.37732,0.33557,0.29491,0.17231,1.72149,3.56515,2.5107,1.82519,0,0.0012238,0.0012238,0.0012238
4,451.445,1.29422,2.6405,1.87081,1.39064,0,0.50825,0.4233,0.42229,0.2527,0.48642,0.41288,0.40332,0.24532,1.78305,2.97159,2.44026,1.8512,0,0.00121287,0.00121287,0.00121287
5,564.072,1.27318,2.59335,1.78811,1.37644,0,0.47062,0.47597,0.4525,0.28709,0.51698,0.40932,0.4201,0.2579,1.6808,3.08394,2.22739,1.81726,0,0.0012005,0.0012005,0.0012005
6,676.442,1.22252,2.47993,1.70779,1.35533,0,0.5155,0.50125,0.4723,0.30805,0.51289,0.48666,0.45954,0.29862,1.6247,2.91423,2.21946,1.72822,0,0.00118812,0.00118812,0.00118812
7,789.263,1.19335,2.42413,1.63759,1.32791,0,0.59001,0.54258,0.54213,0.35864,0.60358,0.50198,0.52047,0.3412,1.54861,2.63892,1.92171,1.6495,0,0.00117575,0.00117575,0.00117575
8,901.286,1.15836,2.37382,1.57323,1.31328,0,0.51424,0.58716,0.53615,0.3576,0.49393,0.56087,0.51176,0.34137,1.55871,2.5547,2.01562,1.66679,0,0.00116337,0.00116337,0.00116337
9,1011.98,1.13757,2.33344,1.52798,1.29334,0,0.58076,0.57606,0.56711,0.37928,0.56798,0.54728,0.53377,0.36772,1.53875,2.62683,1.88747,1.62745,0,0.001151,0.001151,0.001151
10,1123.67,1.12373,2.31467,1.49083,1.29283,0,0.57788,0.64374,0.59662,0.40378,0.58455,0.59009,0.56307,0.37712,1.53044,2.52474,1.82611,1.6036,0,0.00113863,0.00113863,0.00113863
